Palabra,Frecuencia
limpieza,17
parte,11
comestibles,8
desecho,8
preparación,8
clientes,7
venta,7
alimentos,6
maduración,6
humedad,5
pellejo,5
proceso,5
residuos,5
cáscaras,4
dejan,4
echa_a_perder,4
fruta,4
jugos,4
niños,4
caduca,3
comida,3
consumo,3
después,3
día,3
grasa,3
hueso,3
huesos,3
jugo,3
lo_comen,3
no_se_venden,3
producción,3
queda,3
Residuos,3
sobrante,3
tortillas,3
basura,2
carne,2
cáscara,2
clima,2
comen,2
comer,2
comestible,2
dejados,2
desperdicio,2
echado_a_perder,2
elote,2
es,2
está,2
no_se_vende,2
ocupa,2
pacientes,2
para,2
partes,2
pescado,2
podrido,2
por,2
porque,2
preparacion,2
producto,2
pudre,2
restos,2
sobras,2
tiene_uso,2
verduras,2
aceite,1
acompleja,1
apta,1
arroja,1
caducar,1
caducidad,1
cafe,1
calidad,1
calor,1
cascaras,1
cascarón,1
cebolla,1
cocina,1
coco,1
coliflor,1
come,1
compra,1
Compras,1
conejo,1
consume,1
consumidor,1
corte,1
cosecha,1
Dejados,1
desechados,1
Desechan,1
Deshojar,1
desohojo,1
Desojar,1
dobladas,1
durante,1
echados,1
elaboracion,1
elotes,1
empleados,1
Es,1
establecimiento,1
estrellado,1
etapa,1
excesiva,1
exceso,1
excivición,1
exhibición,1
extracción,1
extraer,1
fecha,1
Fiestas,1
final,1
flores,1
Fruta,1
frutas,1
gente,1
golpeada,1
gorgojos,1
harina,1
hornear,1
huacal,1
humano,1
jitomate,1
licuados,1
limpia,1
madurez,1
maduros,1
maltratado,1
mientras,1
molino,1
naranja,1
nopal,1
Parte,1
pellejos,1
perder,1
pierde,1
piña,1
platillo,1
platos,1
poda,1
pollo,1
Preparacion,1
preparacipn,1
Preparar,1
presentación,1
procesada,1
procesamiento,1
Proceso,1
producidos,1
productos,1
pronta,1
próximo,1
quedan,1
rabo,1
rápida,1
rápidamente,1
razones,1
reciclada,1
reciclado,1
requieren,1
residuo,1
revueltas,1
rotos,1
salud,1
selectivos,1
semillas,1
sequebra,1
Sobrantes,1
Solo,1
tanda,1
tiene,1
tienen,1
última,1
usado,1
uva,1
vasos,1
vegetal,1
vegetales,1
vende,1
vender,1
venderse,1
vendió,1
verdura,1
ya,1
zanahoria,1
