Palabra,Frecuencia
residuos,32
no_lleva,16
registro,10
banco_alimentos,9
registros,8
no_separa,7
buena,6
foto,6
no_conoce,6
"banco_alimentos				",5
regalan,5
si_conoce,5
todo,5
"banco_alimentos	",4
disposición,4
"residuos	",4
"residuos				",4
si_separa,4
venden,4
alimenticios,3
alimento,3
desperdicios,3
huesos,3
merma,3
no_conocen,3
parte,3
productos,3
pudo,3
residuo,3
"residuos		",3
sobre,3
tiene,3
tomar,3
alimenticio,2
alimentos,2
banco,2
basura,2
cantidad,2
Changarro,2
comentan,2
como,2
conoce,2
día,2
"entrevistado				",2
estimar,2
generar,2
hacer,2
jugos,2
llega,2
llevan,2
Muy,2
nada,2
"ninguna				",2
no_sabe,2
obtener,2
personas,2
"personas		",2
pollo,2
porque,2
puntual,2
semana,2
separan,2
si_separan,2
"sin_residuos				",2
tienen,2
tipo,2
tiran,2
venta,2
12mil,1
300_lts,1
abarrotes,1
aceite,1
ahí,1
alguno,1
"alimenticios				",1
amable,1
"animal				",1
animales,1
aparentemente,1
aproximada,1
aproximado,1
área,1
atención,1
"atención				",1
atendieron,1
atiende,1
autorización,1
bancos,1
banquetes,1
base,1
"basura				",1
basurero,1
"beneficiadas				",1
"biodiesel		",1
"biodiesel				",1
"borregas				",1
bote,1
cada,1
caducado,1
caducar,1
calle,1
cambian,1
carnes,1
carnicería,1
cartón,1
cáscara,1
chef,1
Chino,1
coliflor,1
"comedores				",1
completa,1
"completa				",1
composta,1
conocimiento,1
consumo,1
contenedor,1
"contenedor		",1
contenedores,1
crema,1
cria,1
cría,1
crudo,1
dan,1
datos,1
declara,1
dedican,1
depositan,1
desde,1
"desecha		",1
"desperdicio				",1
después,1
destino,1
dietas,1
diferencia,1
"dinero				",1
donde,1
drenaje,1
echa,1
Ejemplo,1
ellos,1
empresa,1
encontrar,1
entre,1
entrevista,1
Entrevista,1
"entrevista				",1
entrevistado,1
"entrevistó				",1
están,1
esto,1
final,1
"fotografia				",1
fotografiar,1
fruta,1
"Fruteria				",1
ganado,1
GEN,1
generaban,1
"generados	",1
generan,1
Gordas,1
Gran,1
grasa,1
había,1
hablar,1
hasta,1
Hojas,1
Hugo,1
humano,1
"incineran				",1
incluyen,1
informante,1
infórmate,1
inicio,1
"inorganico				",1
"jabon	",1
kg,1
km,1
licenciada,1
litro,1
logre,1
lts,1
Lupita,1
mascotas,1
mayoría,1
Mencionan,1
"mes				",1
mezclan_todo,1
mismo,1
mojarra,1
momento,1
muy,1
Nada,1
"nada				",1
naranja,1
negocio,1
ningun,1
"ninguno		",1
no_desperdician,1
no_escuchado,1
no_genera,1
no_lleva_registro,1
no_pudo,1
no_pudo_estimar,1
no_registra,1
no_se_tira,1
no_tiene,1
noche,1
nutrición,1
nutriologa,1
obtuvo,1
oficina,1
organico,1
pasa,1
pellejos,1
perder,1
perdona,1
persona,1
"persona				",1
"personal	",1
pieza,1
plástico,1
posible,1
"preguntas				",1
Principal,1
problemas,1
producción,1
producto,1
produzca,1
proporciono,1
proveedor,1
proveedores,1
"proveedores				",1
próximos,1
puede,1
"puercos				",1
pues,1
quedar,1
quiénes,1
recoge,1
recoger,1
regalar,1
"regreso				",1
reparten,1
"residuo		",1
residuos ,1
responder,1
resultó,1
reusar,1
revuelve,1
sale,1
salud,1
"si_escuchado				",1
si_registran,1
si_saben,1
sí_separan,1
siempre,1
"sin_desecho				",1
"sin_desechos				",1
sirve,1
Solo,1
Tacos,1
También,1
tambos,1
teléfono,1
"temporada		",1
temprano,1
tercer,1
todavía,1
totales,1
totalmente,1
trabajan,1
trata,1
Tres,1
triturado,1
"trituradora	",1
ubica,1
Unicamente,1
usa,1
uso,1
"vacas	",1
"vacas				",1
van,1
varias,1
vegetal,1
vende,1
vender,1
vendidos,1
Venta,1
"venta				",1
viene,1
vísceras,1
