Palabra,Frecuencia
lo_regala,23
lo_vende,10
animales,7
alimentos,6
persona,6
consumo,4
donación,4
personas,4
se_lo_lleva,4
centro,3
pasa,3
pasan,3
rehabilitación,3
residuos,3
creadero,2
desconociéndose,2
destino,2
gente,2
propio,2
recoge,2
recogerlo,2
regalado,2
uso,2
alcohólicas,1
alguien,1
alimento,1
anexo,1
anexos,1
animal,1
biodiésel,1
caballo,1
colocan,1
combustible,1
comida,1
compra,1
convierte,1
cria,1
cuando,1
desechos,1
Destrucción,1
dichos,1
Donación,1
Emmanuel,1
empleado,1
empleados,1
ente,1
final,1
fundacion,1
ladrilleras,1
lo_compran,1
lo_dona,1
lo_tira,1
más_barato,1
matriz,1
no_saben,1
orfanato,1
otras,1
pagan,1
Pasan,1
perro,1
perros,1
personal,1
plano,1
proveedor,1
puercos,1
recoger,1
recogerlos,1
recolecta,1
regalan,1
regalar,1
regalarlos,1
residuo,1
se_llevan,1
se_lo_llevan,1
se_queda,1
se_regresan,1
señor,1
tabla,1
trituradora,1
usan,1
vacas,1
vacían,1
vendedor,1
vienen,1
ya_no_sirve,1
