"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:37:30",12,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:37:30",0,"ERAMO10",1,"GIORG",2
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:37:30",1,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:37:33",2,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:45:40",15,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:46:22",14,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:46:26",15,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:46:35",14,"ERAMO10",1,"ERAMO10",1
"36-30-92-16","0067b955987542138ef6b5793b5e1d0a","2019-10-03","16:47:21",3,"ERAMO10",1,"GIORG",2
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:53:19",12,"ERAMO4",1,"ERAMO4",1
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:53:19",0,"ERAMO4",1,"RULES",2
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:53:19",1,"ERAMO4",1,"ERAMO4",1
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:53:33",2,"ERAMO4",1,"ERAMO4",1
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:56:08",15,"ERAMO4",1,"ERAMO4",1
"25-21-49-04","00c8ce64fe7d434f84d64e961f545a79","2019-09-30","15:56:54",14,"ERAMO4",1,"ERAMO4",1
